"","Annelida","Arthropoda","Brachiopoda","Bryozoa","Calcispongea","Chaetognatha","Chlorophyta","Chordata","Ciliophora","Cnidaria","Cyanobacteria","Echinodermata","Foraminifera","Hemichordata","Hyolitha","Lophotrochozoa","Mollusca","Phoronida","Porifera","Priapulida","Radiolaria","Rhodophyta","Sarcomastigophora"
"Ber1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ber2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vl1",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0
"Vl2",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ha1",0.4,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0.2,0,0,0,0
"Ha2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ha3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bar1",0,0,0,0,0,0,0,0,0,0.666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bar2",0,0,0,0,0,0,0,0,0,0.428571428571429,0,0,0.285714285714286,0,0,0,0.571428571428571,0,0,0,0,0,0
"Ap1",0,0,0,0,0,0,0,0,0,0.666666666666667,0,0,0,0,0,0,1.33333333333333,0,0,0,0,0,0
"Ap2",0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0
"Ap3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ap4",0,0,0,0,0,0,0,0,0,0.5,0,0,0.25,0,0,0,0.25,0,0,0,0,0,0
"Al1",0,0,0,0,0,0,0,0,0,0.4,0,0,0.1,0,0,0,0.4,0,0.1,0,0,0,0
"Al2",0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0.333333333333333,0,0,0,0.555555555555556,0,0.111111111111111,0,0,0,0
"Al3",0,0.25,0,0,0,0,0,0,0,0.25,0,0,0.25,0,0,0,0.25,0,0,0,0,0,0
"Al4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0.2,0
"Cn1",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cn2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Cn3",0,0,0,0,0,0,0,0.181818181818182,0,0.181818181818182,0,0,0.272727272727273,0,0,0,0.727272727272727,0,0.181818181818182,0,0,0,0
"Tu1",0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0
"Tu2",0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0.6,0,0,0,0,0,0
"Co1",0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0
"Co2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Snt",0,0.0909090909090909,0,0,0,0,0,0,0,0.181818181818182,0,0,0.0909090909090909,0,0,0,0.363636363636364,0,0,0,0,0,0
"Cm1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.833333333333333,0,0,0,0,0,0
"Cm2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cm3",0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0
"Cm4",0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0
"Cm5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Ma1",0,0,0,0,0,0,0,0,0,0.2,0,0,0.2,0,0,0,0.5,0,0,0,0,0,0
"Ma2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ma3",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pa1",0,0.125,0,0,0,0,0,0,0,0.375,0,0,0,0,0,0,0.5,0,0,0,0,0,0
"Pa2",0,0,0,0,0,0,0,0,0,0.25,0,0,0.5,0,0,0,0,0,0,0,0,0,0
"Pa3",0,0,0,0,0,0,0.4,0,0,0.2,0,0,0.2,0,0,0,0,0,0,0,0,0,0
"Pa4",0,0,0,0,0,0,0,0,0,0.217391304347826,0,0,0.478260869565217,0,0,0,0,0,0,0,0,0.347826086956522,0
"Eo1",0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0.2,0
"Eo2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eo3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Eo4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.5,0
"Eo5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eo6",0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0
"Eo7",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eo8",0,0,0,0,0,0,0,0,0,0.571428571428571,0,0,0.285714285714286,0,0,0,0.142857142857143,0,0,0,0,0,0
"Eo9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Og1",0,0.142857142857143,0,0,0,0,0,0,0,0.714285714285714,0,0,0,0,0,0,0,0,0,0,0,0.142857142857143,0
"Og2",0,0,0,0,0,0,0,0,0,0.727272727272727,0,0,0.0909090909090909,0,0,0,0.0909090909090909,0,0,0,0,0.0909090909090909,0
"Og3",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Og4",0,0,0,0,0,0,0,0,0,0.6,0,0,0.2,0,0,0,0,0,0,0,0,0.2,0
"Mi1",0,0.125,0,0.125,0,0,0,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mi2",0,0,0,0,0,0,0,0,0,0.666666666666667,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0
"Mi3",0,0.2,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mi4",0,0,0,0,0,0,0,0.0714285714285714,0,0.5,0,0,0.214285714285714,0,0,0,0.0714285714285714,0,0,0,0,0.0714285714285714,0
"Mi5",0,0,0,0,0,0,0,0.25,0,0.25,0,0,0,0,0,0,0.25,0,0,0,0,0.25,0
"Mi6",0,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0.5,0,0,0,0,0.125,0
"Mi7",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mi8",0,0,0,0,0,0,0,0.0526315789473684,0,0.368421052631579,0,0,0.105263157894737,0,0,0,0.263157894736842,0,0,0,0,0.157894736842105,0
"Pc1",0,0,0.0526315789473684,0,0,0,0,0,0,0.473684210526316,0,0,0,0,0,0,0.315789473684211,0,0,0,0,0.0526315789473684,0
"Pt1",0,0.03125,0,0.03125,0,0,0,0,0,0.78125,0,0,0.0625,0,0,0,0.15625,0,0,0,0,0,0
